id,classification,code,description,distributed_to,implanted,name,number,quantity_in_commerce,risk_class,slug,country,manufacturer_id,created_at,updated_at,device_type,device_age_years,is_implanted,quantity_in_commerce_log,risk_class_clean,risk_class_encoded,manufacturer_device_count,manufacturer_name,parent_company,previous_event_count,events_last_1_year,events_last_3_years,events_last_5_years,previous_recall_count,previous_high_severity_event_count,days_since_last_event,recent_event_frequency,manufacturer_event_count,manufacturer_recall_count,manufacturer_event_rate,future_event,device_id,temperature,vibration,power_consumption,voltage,operating_hours,error_rate,battery_health,health_score,rolling_temp_mean_5,rolling_vib_mean_5,rolling_power_mean_5,temperature_change_rate,vibration_change_rate,power_change_rate,voltage_variability,telemetry_failure_label,telemetry_anomaly_score,failure_risk_score,risk_level,anomaly_score,maintenance_priority_score,priority_level
3269,,,,,,Microgenics CEDIA Tobramycin II Assay,"Model: Catalogue Number: A96842, Affected: Lot: 60169764",0.0,,nzl-microgenics-cedia-tobramycin-ii-assay,NZL,1644,2022-08-04 08:29:00 UTC,2022-08-04 08:29:00 UTC,Diagnostic,0.0,0,0.0,Class IIA,2,3,Microgenics Corporation,Thermo Fisher Scientific Inc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3269,36.22,0.224,109.44,220.46,2410,0.53,90.8,94.9,36.474,0.1814,112.81199999999998,-0.46999999999999886,0.057999999999999996,-2.6899999999999977,0.16926310879804166,0,30.8,62.8,HIGH,30.8,40.3,MODERATE
3270,,,,,,Steris Reliance EPS endoscope processor,"Model: All models, Affected: All serial numbers",0.0,,nzl-steris-reliance-eps-endoscope-processor,NZL,1600,2022-08-04 08:29:00 UTC,2022-08-04 08:29:00 UTC,Surgical,0.0,0,0.0,Class IIA,2,6,Steris Corporation,Steris Plc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3270,37.05,0.182,122.15,219.9,714,0.3,92.0,94.7,37.064,0.1618,119.70599999999999,-0.10999999999999943,0.032,3.1700000000000017,0.5041825066383308,0,4.9,47.6,MODERATE,4.9,27.8,LOW
3271,,,,,,ASP Sterrad Booster,"Model: Catalogue Numbers: 15400, Affected: All units",0.0,,nzl-asp-sterrad-booster,NZL,1438,2022-08-04 08:29:00 UTC,2022-08-04 08:29:00 UTC,Other,0.0,0,0.0,Class IIA,2,14,Advanced Sterilization Products,Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3271,36.77,0.174,115.04,219.03,2631,0.18,91.0,95.6,36.844,0.1636,114.89200000000001,0.010000000000005116,-0.008000000000000007,-0.3499999999999943,0.7888155677977239,0,11.5,13.2,LOW,11.5,15.7,LOW
3272,,,,,,ASP Sterrad Adapters,"Model: Product codes: 15401, 15402, 15403, 15407, Affected: All units",0.0,,nzl-asp-sterrad-adapters,NZL,1438,2022-08-04 08:29:00 UTC,2022-08-04 08:29:00 UTC,Other,0.0,0,0.0,Class IIA,2,14,Advanced Sterilization Products,Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3272,36.85,0.262,113.23,220.12,828,0.22,91.4,93.6,36.852,0.22959999999999997,113.208,-0.03999999999999915,0.05500000000000002,1.8400000000000034,0.5226566750745937,0,34.1,14.4,LOW,34.1,21.8,LOW
3273,,,,,,Siemens E.cam and Symbia E System,"Model: All models, Affected: All systems",0.0,,nzl-siemens-e-cam-and-symbia-e-system,NZL,1599,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,24,Siemens Medical Solutions USA Inc,Siemens AG,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3273,36.71,0.199,115.17,218.46,555,0.86,90.7,93.1,36.652,0.19580000000000003,117.29400000000001,-0.0799999999999983,0.010000000000000009,-3.469999999999999,0.5620676115913104,0,28.3,30.6,MODERATE,28.3,26.8,LOW
3274,,,,,,Abbott i-Stat PT/INR Cartridge,"Model: Model: 3P89-24, Affected: Lots from C13139 to C13270A",0.0,,nzl-abbott-i-stat-pt-inr-cartridge,NZL,1454,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,9,Abbott Point of Care Canada Ltd,Abbott Laboratories,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3274,36.24,0.31,113.45,219.66,1009,0.5,92.1,93.6,36.334,0.1774,117.002,0.14999999999999858,0.191,-5.1299999999999955,0.25801162764492885,0,38.9,36.1,MODERATE,38.9,31.7,MODERATE
3275,,,,,,Radiometer ABL90 Flex analyser,"Model: , Affected: All serial numbers",0.0,,nzl-radiometer-abl90-flex-analyser,NZL,1442,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,27,Radiometer Medical ApS,Danaher Corporation,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3275,47.64,1.879,163.96,222.66,1948,11.97,58.3,0.0,46.721999999999994,1.7352,152.18,0.25,0.06899999999999995,11.79000000000002,1.5382782583135395,1,46.3,12.0,LOW,46.3,23.9,LOW
3276,,,,,,"Varian Clinac, Trilogy, Trilogy Tx, Novalis Tx, and Unique Accelerators","Model: Product Codes: H14, H18, H27, H29, Affected: Versions: 7.x, 8.x, 9.0",0.0,,nzl-varian-clinac-trilogy-trilogy-tx-novalis-tx-and-unique-accelerators,NZL,1484,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,10,Varian Medical Systems Inc,Varian Medical Systems Inc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3276,36.79,0.198,108.1,219.73,1816,0.54,91.5,94.1,36.86,0.21339999999999998,108.96199999999999,-0.1600000000000037,-0.033,-1.190000000000012,0.32338831147712443,0,28.8,31.7,MODERATE,28.8,27.4,LOW
3277,,,,,,Welch Allyn Propaq LT/ Propaq 802 Patient Monitor,"Model: 802LTAN, 802LTON, 802LTRN, Affected: ",0.0,,nzl-welch-allyn-propaq-lt-propaq-802-patient-monitor,NZL,1645,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Monitoring,0.0,0,0.0,Class IIB,3,1,Welch Allyn Protocol Inc,"Hill-Rom Holdings, Inc",0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3277,36.02,0.186,120.64,220.21,1006,0.89,91.4,95.2,36.136,0.1894,121.252,-0.3999999999999986,-0.008000000000000007,-2.9099999999999966,0.3213253802611696,0,20.5,71.1,HIGH,20.5,44.8,MODERATE
3278,,,,,,GE CARESCAPE Monitor B850,"Model: , Affected: ",0.0,,nzl-ge-carescape-monitor-b850,NZL,1467,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Monitoring,0.0,0,0.0,Class IIB,3,13,GE Healthcare Finland Oy,General Electric Company,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3278,36.87,0.22,125.46,219.92,1559,0.36,91.8,94.1,36.66,0.20579999999999998,126.41600000000001,0.3499999999999943,0.026999999999999996,-0.9500000000000028,0.33919021212288275,0,15.5,30.9,MODERATE,15.5,27.5,LOW
3279,,,,,,Medtronic IN.Pact Amphirion Drug-Eluting Balloon (DEB),"Model: , Affected: All lots",0.0,,nzl-medtronic-in-pact-amphirion-drug-eluting-balloon-deb,NZL,1646,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Imaging,0.0,0,0.0,Class IIA,2,1,Invatec Technology Centre GmBH,Medtronic plc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3279,35.68,0.212,125.4,221.78,1876,0.13,90.0,97.4,35.498000000000005,0.198,123.93799999999999,0.0899999999999963,0.03,2.8700000000000045,0.2726352875179698,0,39.5,65.9,HIGH,39.5,43.7,MODERATE
3280,,,,,,Smiths Medical Epidural Minipack Systems,"Model: 100/391/116, Affected: All lots",0.0,,nzl-smiths-medical-epidural-minipack-systems,NZL,1647,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,2,Smiths Medical International Ltd (UK),Smiths Group Plc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3280,49.02,1.876,162.58,219.92,3123,11.57,58.1,0.0,47.542,1.702,156.76000000000002,1.0200000000000031,0.09299999999999997,10.350000000000023,4.626793706228902,1,44.4,65.2,HIGH,44.4,44.7,MODERATE
3281,,,,,,Siemens ADVIA Chemistry Systems software,"Model: Models: ADVIA 1200, 1650, 1800, 2400, Affected: S/W Versions; V2.00, V2.01 (1200), V3.52, V4.01 (1650), V2.01 91800), V4.01 (2400)",0.0,,nzl-siemens-advia-chemistry-systems-software,NZL,1457,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,127,Siemens Healthcare Diagnostics Inc,Siemens AG,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3281,35.42,0.225,117.12,221.04,2169,0.55,91.5,97.0,35.632000000000005,0.2136,115.56400000000001,-0.35999999999999943,-0.04100000000000001,0.6800000000000068,0.6256756348140375,0,30.0,2.7,LOW,30.0,16.1,LOW
3282,,,,,,Hill-Rom Clin Activ and Clin Activ Plus Therapy Surface,"Model: N02050, N02051, P02062, P02063, P02064, P02065, Affected: All lots",0.0,,nzl-hill-rom-clin-activ-and-clin-activ-plus-therapy-surface,NZL,1648,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Infusion,0.0,0,0.0,Class IIA,2,1,Hill-Rom SAS,"Hill-Rom Holdings, Inc",0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3282,48.72,1.884,167.22,212.77,3167,11.48,56.6,0.0,47.547999999999995,1.669,153.69400000000002,0.4799999999999969,0.1349999999999998,12.389999999999986,8.515100116851235,1,63.4,63.6,HIGH,63.4,48.8,MODERATE
3283,,,,,,Intuitive IS3000 HD Lamp Modules,"Model: INS-950093-05, Affected: ",0.0,,nzl-intuitive-is3000-hd-lamp-modules,NZL,1473,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,13,Intuitive Surgical Inc,Intuitive Surgical Inc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3283,47.88,1.916,162.94,213.98,1795,11.77,57.9,0.0,47.089999999999996,1.8034,165.64999999999998,0.45000000000000284,0.038000000000000034,2.7700000000000102,3.3926435120713525,1,48.1,36.8,MODERATE,48.1,34.2,MODERATE
3284,,,,,,Siemens Artis zee Ceiling Systems,"Model: Catalogue number – 10094137, Affected: ",0.0,,nzl-siemens-artis-zee-ceiling-systems,NZL,1486,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,68,Siemens AG,Siemens AG,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3284,36.09,0.152,123.32,221.81,1244,0.46,91.8,97.1,36.172,0.175,125.854,-0.21999999999999886,-0.013000000000000012,-2.1400000000000006,0.4503110036408564,0,24.5,3.0,LOW,24.5,14.8,LOW
3285,,,,,,Siemens BFT II Analyser,"Model: Catalogue Number: OVKF03 / SMN 10458677, Affected: ",0.0,,nzl-siemens-bft-ii-analyser,NZL,1554,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,8,Siemens Healthcare Diagnostics Products GmbH,Siemens AG,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3285,49.19,1.913,168.85,225.77,706,11.98,58.0,0.0,48.492000000000004,1.7808,157.076,0.030000000000001137,0.07899999999999996,7.210000000000008,4.735161032108628,1,65.9,33.6,MODERATE,65.9,37.4,MODERATE
3286,,,,,,Draeger Infinity Acute Care System (IACS) in Neonatal Mode,"Model: , Affected: , Software version: VG2.03 & higher",0.0,,nzl-draeger-infinity-acute-care-system-iacs-in-neonatal-mode,NZL,1528,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,26,Draegerwerk AG & Co KGaA,Stefan Dräger GmbH,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3286,37.55,0.164,110.55,220.99,2989,0.41,91.2,93.2,37.472,0.14079999999999998,111.404,0.0799999999999983,0.020000000000000018,-2.8599999999999994,0.8784645695757884,0,31.5,11.0,LOW,31.5,19.8,LOW
3287,,,,,,Biomerieux API NH,"Model: 10400, Affected: Multiple",0.0,,nzl-biomerieux-api-nh,NZL,1611,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,27,Biomerieux SA,Compagnie Merieux Alliance,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3287,37.37,0.146,125.33,219.16,1677,0.52,89.1,93.1,37.498000000000005,0.172,124.90800000000002,-0.5,-0.066,4.069999999999993,0.7131759951091544,0,27.4,15.4,LOW,27.4,20.5,LOW
3288,,,,,,Biomerieux ZYM B Reagent,"Model: 70493, Affected: Multiple",0.0,,nzl-biomerieux-zym-b-reagent,NZL,1611,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Diagnostic,0.0,0,0.0,Class IIA,2,27,Biomerieux SA,Compagnie Merieux Alliance,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3288,37.46,0.23,114.1,219.36,1570,1.25,92.0,89.9,37.05200000000001,0.20500000000000002,115.64000000000001,0.6099999999999994,0.05100000000000002,-1.9000000000000057,0.2849561369755935,0,65.6,10.6,LOW,65.6,28.1,LOW
3289,,,,,,Biomerieux API Listeria,"Model: 10300, Affected: Multiple",0.0,,nzl-biomerieux-api-listeria,NZL,1611,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,27,Biomerieux SA,Compagnie Merieux Alliance,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3289,48.16,1.8,168.71,220.79,2140,11.29,60.1,0.0,46.402,1.6046,158.406,1.0399999999999991,0.08899999999999997,6.610000000000014,5.053367194257712,1,79.0,12.0,LOW,79.0,32.0,MODERATE
3290,,,,,,Boston Scientific Vessix generator System,"Model: RDBS010, Affected: ",0.0,,nzl-boston-scientific-vessix-generator-system,NZL,1649,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,1,Vessix Vascular Inc,Boston Scientific,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3290,36.58,0.179,117.8,221.98,1518,0.44,92.2,95.6,36.714,0.1982,116.106,-0.12000000000000455,-0.009000000000000008,1.9299999999999926,0.3263893380610514,0,20.4,76.8,HIGH,20.4,43.3,MODERATE
3291,,,,,,Zimmer Trabecular Metal Reverse Shoulder System,"Model: , Affected: 00-4349-036-11, 00-4349-038-11 and 00-4349-040-11",0.0,,nzl-zimmer-trabecular-metal-reverse-shoulder-system,NZL,1509,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,15,Zimmer Inc,Zimmer Biomet Holdings,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3291,36.48,0.185,111.17,218.27,2548,0.38,92.8,96.1,36.492000000000004,0.1958,113.994,0.3499999999999943,-0.015000000000000013,-3.3400000000000034,0.3028696089078504,0,35.7,21.6,LOW,35.7,25.1,LOW
3292,,,,,,Hospira GemStar Infusion pump,"Model: List numbers: 13000, 13087, 13088, 13150, 13100, Affected: All serial numbers",0.0,,nzl-hospira-gemstar-infusion-pump,NZL,1515,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Infusion,0.0,0,0.0,Class IIB,3,20,Hospira Inc,Pfizer,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3292,35.21,0.123,123.23,222.05,1547,0.28,89.5,99.8,35.206,0.1746,120.8,0.14999999999999858,-0.124,3.5,0.37825917041087687,0,41.2,32.0,MODERATE,41.2,34.4,MODERATE
3293,,,,,,"Vitros Chemistry products K+ Slides, Coatings 0884 amd 0885","Model: 8157596, Affected: Coatings: 0884, 0885",0.0,,nzl-vitros-chemistry-products-k-slides-coatings-0884-amd-0885,NZL,1441,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,18,Ortho-Clinical Diagnostics Inc,The Carlyle Group LP,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3293,36.47,0.239,124.5,217.94,1908,0.31,89.5,94.2,36.608,0.2088,121.88,0.14000000000000057,0.033,2.030000000000001,0.4406472512112888,0,27.3,13.9,LOW,27.3,19.9,LOW
3294,,,,,,Abbott RealTime High Risk HPV and RealTime High Risk (HR) HPV Application CD-ROM (for m2000 System),"Model: List Numbers: 02N09 & 4N05-01, Affected: Version 1.0",0.0,,nzl-abbott-realtime-high-risk-hpv-and-realtime-high-risk-hr-hpv-application-cd-rom-for-m2000-system,NZL,1451,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,8,Abbott Molecular Inc,Abbott Laboratories,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3294,36.22,0.217,123.5,220.19,2798,0.3,89.1,95.2,36.230000000000004,0.18080000000000002,122.18599999999999,0.03999999999999915,0.07500000000000001,3.510000000000005,0.5973022685374636,0,13.0,37.0,MODERATE,13.0,25.6,LOW
3295,,,,,,Draeger Monitor AC3000 Spring Arm,"Model: G92756 and G94499, Affected: ",0.0,,nzl-draeger-monitor-ac3000-spring-arm,NZL,1528,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Monitoring,0.0,0,0.0,Class IIB,3,26,Draegerwerk AG & Co KGaA,Stefan Dräger GmbH,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3295,35.93,0.164,111.87,221.26,1939,0.4,90.6,97.1,36.20399999999999,0.17520000000000002,112.40599999999999,-0.46999999999999886,0.02300000000000002,-2.549999999999997,0.5691924103499012,0,20.8,12.7,LOW,20.8,21.5,LOW
3296,,,,,,GE Patient Data Module (PDM),"Model: Product Codes: SA3 and SG5, Affected: Manufactured between Apr-2007 and Dec-2012",0.0,,nzl-ge-patient-data-module-pdm-f3a01be9,NZL,1466,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,18,GE Medical Systems Information Technologies,General Electric Company,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3296,48.28,1.961,167.67,222.55,2327,11.75,56.7,0.0,47.446,1.7972000000000001,162.08800000000002,0.10999999999999943,0.11699999999999999,8.369999999999976,3.3760953777995817,1,48.6,15.2,LOW,48.6,25.7,LOW
3297,,,,,,ASP Sterrad 100NX Sterilisation System,"Model: Product Code: 10104-002, Affected: Manufactured between Oct-2012 and Jun-2013",0.0,,nzl-asp-sterrad-100nx-sterilisation-system,NZL,1438,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,14,Advanced Sterilization Products,Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3297,36.45,0.167,123.86,221.27,1077,0.32,90.0,95.8,36.32000000000001,0.14679999999999999,123.10799999999999,0.35999999999999943,-0.010999999999999982,1.0600000000000023,0.5441690913677097,0,11.1,17.6,LOW,11.1,17.3,LOW
3298,,,,,,Synthes Drill Template for LCP Ulna Osteotomy Plate 2.7,"Model: Part Numbers: 03.111.900, 03.111.901, 03.111.902, 03.111.903, 03.111.904, Affected: All lots",0.0,,nzl-synthes-drill-template-for-lcp-ulna-osteotomy-plate-2-7,NZL,1470,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,53,Synthes GmbH,Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3298,49.52,1.94,167.63,222.74,2690,11.63,59.3,0.0,48.474000000000004,1.7898,156.246,0.6700000000000017,0.05400000000000005,17.569999999999993,3.950421496498771,1,67.3,4.8,LOW,67.3,26.2,LOW
3299,,,,,,Synthes Saw Guide for LCP Ulna Osteotomy Plate 2.7,"Model: Part Number: 03.111.905, Affected: All lots",0.0,,nzl-synthes-saw-guide-for-lcp-ulna-osteotomy-plate-2-7,NZL,1470,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,53,Synthes GmbH,Johnson & Johnson,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3299,35.57,0.198,115.35,220.12,2231,0.41,90.2,97.2,35.565999999999995,0.1638,115.19199999999998,0.0799999999999983,0.019000000000000017,-1.6700000000000017,0.5731666424348419,0,15.3,3.5,LOW,15.3,12.7,LOW
3300,,,,,,Boston Scientific Twister Plus Rotatable Retrieval Device,"Model: Catalogue Numbers: 6141, 6142, Affected: Various lots",0.0,,nzl-boston-scientific-twister-plus-rotatable-retrieval-device,NZL,1650,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,1,Horizons International Corp,,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3300,49.44,1.907,158.7,223.61,1657,11.51,58.2,0.0,47.896,1.6716000000000002,147.74200000000002,0.7299999999999969,0.13400000000000012,1.3599999999999852,2.977915378247032,1,62.0,72.2,HIGH,62.0,51.9,MODERATE
3301,,,,,,Medtronic CoreValve AccuTrak Delivery Catheter System,"Model: Models: DCS-C4-18Fr & DCS-C4-18Fr-23, Affected: All lots",0.0,,nzl-medtronic-corevalve-accutrak-delivery-catheter-system,NZL,1651,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Infusion,0.0,0,0.0,Class III,4,2,Medtronic Core Valve LLC,Medtronic plc,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3301,36.62,0.15,131.27,221.13,3019,0.3,91.5,96.2,36.769999999999996,0.1638,130.31199999999998,-0.22000000000000597,-0.021999999999999992,-1.4099999999999966,0.4377556395981581,0,31.7,66.4,HIGH,31.7,49.5,MODERATE
3302,General Hospital and Personal Use Devices,,,,,Hospira GemStar Docking station,"Model: List Numbers: 13075-XX-07 and 13075-XX-09, Affected: ",0.0,,nzl-general-hospital-and-personal-use-devices-hospira-gemstar-docking-station,NZL,1515,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Other,0.0,0,0.0,Class IIA,2,20,Hospira Inc,Pfizer,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3302,36.76,0.201,118.25,220.2,1356,0.52,91.9,94.3,36.54,0.16219999999999998,120.604,0.28000000000000114,0.08900000000000001,-3.6099999999999994,0.3520653348456923,0,9.4,28.1,LOW,9.4,21.1,LOW
3303,,,,,,Sysmex CS-2100i/2000i Automated Blood Coagulation Analyser,"Model: Models: CS-2100i & CS-2000i, Affected: All serial numbers",0.0,,nzl-sysmex-cs-2100i-2000i-automated-blood-coagulation-analyser,NZL,1445,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Diagnostic,0.0,0,0.0,Class IIA,2,14,Sysmex Corporation,Sysmex Corp.,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3303,36.98,0.2,117.43,221.0,1682,0.39,91.3,94.0,36.742,0.1992,116.846,0.4199999999999946,-0.00799999999999998,2.8100000000000023,0.7903606771594937,0,12.2,15.0,LOW,12.2,16.6,LOW
3304,,,,,,Abbott Hi-Torque Connect Peripheral Guide Wire,"Model: Part Numbers: 1012587, 1012588, 1012589, 1012590, 1012591, 1012592, 1012593, 1012594, 1012595, Affected: All lot numbers",0.0,,nzl-abbott-hi-torque-connect-peripheral-guide-wire,NZL,1652,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Imaging,0.0,0,0.0,Class IIA,2,1,Lake Region Medical Ltd,Integer Holdings Corporation,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3304,37.28,0.22,115.07,219.17,2853,0.23,91.7,93.5,37.088,0.1706,117.744,0.2700000000000031,0.065,-4.650000000000006,0.4232375219661301,0,22.7,68.1,HIGH,22.7,40.4,MODERATE
3305,,,,,,Ortho-Clinical Diagnostics VITROS Chemistry Products METD Reagent,"Model: Product Code: 6801996, Affected: All lots",0.0,,nzl-ortho-clinical-diagnostics-vitros-chemistry-products-metd-reagent,NZL,1441,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Diagnostic,0.0,0,0.0,Class IIA,2,18,Ortho-Clinical Diagnostics Inc,The Carlyle Group LP,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3305,35.71,0.186,127.2,220.08,2081,0.18,91.0,98.0,35.968,0.197,122.53600000000002,-0.269999999999996,-0.0020000000000000018,5.549999999999997,0.4918638022867477,0,21.1,19.2,LOW,21.1,20.5,LOW
3306,,,,,,Ortho-Clinical Diagnostics VITROS Chemistry Products THC Reagent,"Model: Product Code: 6801994, Affected: All lots",0.0,,nzl-ortho-clinical-diagnostics-vitros-chemistry-products-thc-reagent,NZL,1441,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Diagnostic,0.0,0,0.0,Class IIA,2,18,Ortho-Clinical Diagnostics Inc,The Carlyle Group LP,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3306,47.29,1.891,155.76,220.29,2290,11.57,55.9,0.0,46.128,1.7398,150.904,-0.030000000000001137,0.03299999999999992,14.189999999999998,4.847153804037988,1,56.4,13.8,LOW,56.4,27.1,LOW
3307,,,,,,Ortho-Clinical Diagnostics VITROS Chemistry Products hsCRP Reagent,"Model: Product Code: 6801739, Affected: All lots",0.0,,nzl-ortho-clinical-diagnostics-vitros-chemistry-products-hscrp-reagent,NZL,1441,2022-08-04 08:29:01 UTC,2022-08-04 08:29:01 UTC,Diagnostic,0.0,0,0.0,Class IIA,2,18,Ortho-Clinical Diagnostics Inc,The Carlyle Group LP,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0,0.0,0.0,0.0,0,3307,36.21,0.193,120.94,216.87,1101,0.87,89.5,94.1,36.034,0.1686,119.274,0.1600000000000037,0.027999999999999997,3.049999999999997,0.792054291068494,0,35.6,17.8,LOW,35.6,23.5,LOW
